Fecha,Temperatura,Humedad,CO,NO2,O3,SO2
10/07/2023 02:02,20.508506775,79.676506042,85.940002441,28.600000381,30.280000687,6.190000057
10/07/2023 06:47,20.604639053,82.691688538,110.120002747,29.909999847,30.049999237,6.190000057
10/07/2023 08:17,24.193561554,76.258491516,75.129997253,30.020000458,30.909999847,6.269999981
10/07/2023 12:27,26.522087097,70.569923401,100.669998169,30.329999924,31.63999939,6.570000172
10/07/2023 12:37,26.447319031,70.337989807,101.589996338,30.350000381,31.549999237,6.570000172
10/07/2023 12:52,26.351186752,70.86289978,102.529998779,31.209999084,31.819999695,6.409999847
